id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
173,1477840383224827906,https://twitter.com/theAUDL/statuses/1477840383224827906,https://twitter.com/theAUDL/statuses/1477840383224827906,theAUDL,RT @AndyHermanNFL: Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,2022-01-02 22:12:58,Twitter for iPhone,0,13,en,,retweet,,0,0,AndyHermanNFL,23009627,1477838131328126979,321755534,https://pbs.twimg.com/profile_images/1400825456060940288/3Le5izbb_normal.jpg,27021,1914,28591,2011-06-21 22:37:05,Official Twitter for the American Ultimate Disc League. 22 teams showcasing professional ultimate in North America. #AUDL #AUDL2021,,1
174,1477840126273368064,https://twitter.com/theAUDL/statuses/1477840126273368064,https://twitter.com/theAUDL/statuses/1477840126273368064,theAUDL,RT @Matt_Reynoldson: A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,2022-01-02 22:11:57,Twitter for iPhone,0,16,en,,retweet,,0,0,Matt_Reynoldson,3009619243,1477836696997744644,321755534,https://pbs.twimg.com/profile_images/1400825456060940288/3Le5izbb_normal.jpg,27021,1914,28591,2011-06-21 22:37:05,Official Twitter for the American Ultimate Disc League. 22 teams showcasing professional ultimate in North America. #AUDL #AUDL2021,,1
175,1477839837772320768,https://twitter.com/dparks97/statuses/1477839837772320768,https://twitter.com/dparks97/statuses/1477839837772320768,dparks97,RT @Matt_Reynoldson: A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,2022-01-02 22:10:48,Twitter for iPhone,0,16,en,,retweet,,0,0,Matt_Reynoldson,3009619243,1477836696997744644,550063007,https://pbs.twimg.com/profile_images/1349219005626798082/GjfDxoO5_normal.jpg,36157,956,1037,2012-04-10 08:22:50,never let the party die,Coolsville,
176,1477839807384543232,https://twitter.com/SamSmit64246628/statuses/1477839807384543232,https://twitter.com/SamSmit64246628/statuses/1477839807384543232,SamSmit64246628,RT @AndyHermanNFL: Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,2022-01-02 22:10:41,Twitter Bot 1996,0,13,en,,retweet,,0,0,AndyHermanNFL,23009627,1477838131328126979,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
177,1477839790104104963,https://twitter.com/SamSmit64246628/statuses/1477839790104104963,https://twitter.com/SamSmit64246628/statuses/1477839790104104963,SamSmit64246628,"RT @Mh2Montgomery: Ultimate Frisbee halftime show is the most exciting thing in this game so far.
#skol
Where's Mond? https://t.co/VLbFQudq…","Ultimate Frisbee halftime show is the most exciting thing in this game so far.
#skol
Where's Mond? https://t.co/VLbFQudqge",2022-01-02 22:10:37,Twitter Bot 1996,0,2,en,,retweet,,0,0,Mh2Montgomery,3179644519,1477836800123092992,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
178,1477839777043038210,https://twitter.com/SamSmit64246628/statuses/1477839777043038210,https://twitter.com/SamSmit64246628/statuses/1477839777043038210,SamSmit64246628,RT @Matt_Reynoldson: A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,2022-01-02 22:10:34,Twitter Bot 1996,0,16,en,,retweet,,0,0,Matt_Reynoldson,3009619243,1477836696997744644,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
179,1477839751390679041,https://twitter.com/SamSmit64246628/statuses/1477839751390679041,https://twitter.com/SamSmit64246628/statuses/1477839751390679041,SamSmit64246628,RT @mattschneidman: The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,2022-01-02 22:10:28,Twitter Bot 1996,0,10,en,,retweet,,0,0,mattschneidman,1087647560,1477836692459503623,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
180,1477839713184714755,https://twitter.com/SamSmit64246628/statuses/1477839713184714755,https://twitter.com/SamSmit64246628/statuses/1477839713184714755,SamSmit64246628,RT @KaiJYeung: First ultimate frisbee of 2022…here’s to many more 🥏 https://t.co/QttZKKrYBw,First ultimate frisbee of 2022…here’s to many more 🥏 https://t.co/QttZKKrYBw,2022-01-02 22:10:19,Twitter Bot 1996,0,1,en,,retweet,,0,0,KaiJYeung,1468715087535869952,1477836254909636610,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
181,1477839704368287744,https://twitter.com/SamSmit64246628/statuses/1477839704368287744,https://twitter.com/SamSmit64246628/statuses/1477839704368287744,SamSmit64246628,RT @itsAdamJames: If you are at the packers game. Watch halftime. The Madison Radicals and the Minnesota Windchill are showcasing an ultima…,If you are at the packers game. Watch halftime. The Madison Radicals and the Minnesota Windchill are showcasing an ultimate frisbee game.,2022-01-02 22:10:17,Twitter Bot 1996,0,1,en,,retweet,,0,0,itsAdamJames,360969547,1477830120643698690,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
182,1477839606401974272,https://twitter.com/jschubert30/statuses/1477839606401974272,https://twitter.com/jschubert30/statuses/1477839606401974272,jschubert30,RT @mattschneidman: The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,2022-01-02 22:09:53,Twitter for iPhone,0,10,en,,retweet,,0,0,mattschneidman,1087647560,1477836692459503623,748212846,https://pbs.twimg.com/profile_images/1213140115624800257/T4Igzwx2_normal.jpg,5241,526,587,2012-08-09 20:10:25,sc @jschubs3030,,
183,1477839564752527367,https://twitter.com/theAUDL/statuses/1477839564752527367,https://twitter.com/theAUDL/statuses/1477839564752527367,theAUDL,RT @mattschneidman: The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,2022-01-02 22:09:43,Twitter for iPhone,0,10,en,,retweet,,0,0,mattschneidman,1087647560,1477836692459503623,321755534,https://pbs.twimg.com/profile_images/1400825456060940288/3Le5izbb_normal.jpg,27021,1914,28591,2011-06-21 22:37:05,Official Twitter for the American Ultimate Disc League. 22 teams showcasing professional ultimate in North America. #AUDL #AUDL2021,,1
184,1477839429397991424,https://twitter.com/jschubert30/statuses/1477839429397991424,https://twitter.com/jschubert30/statuses/1477839429397991424,jschubert30,RT @Matt_Reynoldson: A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,2022-01-02 22:09:11,Twitter for iPhone,0,16,en,,retweet,,0,0,Matt_Reynoldson,3009619243,1477836696997744644,748212846,https://pbs.twimg.com/profile_images/1213140115624800257/T4Igzwx2_normal.jpg,5241,526,587,2012-08-09 20:10:25,sc @jschubs3030,,
185,1477839323949146127,https://twitter.com/smurawa_/statuses/1477839323949146127,https://twitter.com/smurawa_/statuses/1477839323949146127,smurawa_,RT @mattschneidman: The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,2022-01-02 22:08:46,Twitter Web App,0,10,en,,retweet,,0,0,mattschneidman,1087647560,1477836692459503623,985100169929805824,https://pbs.twimg.com/profile_images/1355584368421597185/KsUEnZlr_normal.jpg,64697,262,144,2018-04-14 06:19:17,"MUFC
Green Bay Packers","Green Bay, WI",
186,1477839006905913354,https://twitter.com/AnthonyAB1213/statuses/1477839006905913354,https://twitter.com/AnthonyAB1213/statuses/1477839006905913354,AnthonyAB1213,RT @mattschneidman: The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,The crowd is loving this intense game of ultimate frisbee going on at halftime on the field.,2022-01-02 22:07:30,Twitter for iPhone,0,10,en,,retweet,,0,0,mattschneidman,1087647560,1477836692459503623,1197885915311550466,https://pbs.twimg.com/profile_images/1468718178259947533/FG10hAMf_normal.jpg,25382,664,113,2019-11-22 09:34:02,"UW-Platteville alum! Sports, music, sneakers, and beer! #FearTheDeer #ThisIsMyCrew #GoPackGo #OnWisconsin #WeAreMarquette #GoBolts #GatorNation",MKE➡️KC➡️Binghamton➡️Tampa,
187,1477838918263390211,https://twitter.com/LeftLiberty1/statuses/1477838918263390211,https://twitter.com/LeftLiberty1/statuses/1477838918263390211,LeftLiberty1,RT @Matt_Reynoldson: A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,A spirited game of ultimate frisbee on the Frozen Tundra. https://t.co/l9C0onKQRD,2022-01-02 22:07:09,Twitter for iPhone,0,16,en,,retweet,,0,0,Matt_Reynoldson,3009619243,1477836696997744644,1215383696800350209,https://pbs.twimg.com/profile_images/1226584127153020928/D9eGpry8_normal.jpg,1789,329,64,2020-01-09 16:23:57,Packers Superfan and Halo Superstan 🤟🏼,,
188,1477838890023141377,https://twitter.com/AnthonyAB1213/statuses/1477838890023141377,https://twitter.com/AnthonyAB1213/statuses/1477838890023141377,AnthonyAB1213,RT @AndyHermanNFL: Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,Halftime game of ultimate frisbee has me dying to know how far Aaron Rodgers could throw a frisbee.,2022-01-02 22:07:02,Twitter for iPhone,0,13,en,,retweet,,0,0,AndyHermanNFL,23009627,1477838131328126979,1197885915311550466,https://pbs.twimg.com/profile_images/1468718178259947533/FG10hAMf_normal.jpg,25382,664,113,2019-11-22 09:34:02,"UW-Platteville alum! Sports, music, sneakers, and beer! #FearTheDeer #ThisIsMyCrew #GoPackGo #OnWisconsin #WeAreMarquette #GoBolts #GatorNation",MKE➡️KC➡️Binghamton➡️Tampa,
